Tweets,Polarity,Subjectivity,overall
"To avoid further confusion, we are taking down the previous thread on the #COVID19 ""immunity passport"", but you can still see it here👇 https://t.co/bLx3bRDaTB",-0.10740740740740741,0.31851851851851853,negative
"What we don't yet know is the level of protection or how long it will last. We are working with scientists around the world to better understand the body's response to #COVID19 infection. So far, no studies have answered these important questions. https://t.co/DisLjWCa4U",0.19,0.5933333333333334,positive
"Earlier today we tweeted about a new WHO scientific brief on ""immunity passports"". The thread caused some concern &amp; we would like to clarify:

We expect that most people who are infected with #COVID19 will develop an antibody response that will provide some level of protection. https://t.co/AmxvQQLTjM",0.1590909090909091,0.44696969696969696,positive
"Investments in the fight against #malaria support the fight against #COVID19 and save lives of the most vulnerable:
🤰🏿  pregnant women
🧒🏾 children
 
👉 https://t.co/SvhHzWRAFO
 
#WorldMalariaDay https://t.co/OkIuBJWvJU",0.1111111111111111,0.5,positive
"The toll of #malaria won’t stop as the #COVID19 pandemic evolves. A stall in action now will bring unnecessary suffering and loss of life
 
👉 https://t.co/SvhHzWRAFO
 
#WorldMalariaDay https://t.co/mGCb5id43N",-0.15000000000000002,0.5,negative
"Robust health systems are a first line of defense against age-old public health challenges such as #malaria, and new ones like #COVID19
 
👉 https://t.co/SvhHzWRAFO
 
#WorldMalariaDay https://t.co/JXuOJ7WhO6",0.09659090909090909,0.3386363636363636,positive
"RT @antonioguterres: As we work on tackling #COVID19, we can't afford to lose ground on the gains we have made against other diseases like…",-0.125,0.375,negative
"Investments in #malaria prevention can help ease the strain on health facilities overburdened by the response to #COVID19
 
👉 https://t.co/SvhHzWRAFO
 
#WorldMalariaDay https://t.co/XbTFi9AD26",0.0,0.0,neutral
"Stepped-up investment in new tools and technologies can help us beat #malaria and other deadly diseases such as #COVID19

👉 https://t.co/SvhHzWRAFO

#WorldMalariaDay https://t.co/9Wg2FEI1IU",-0.047159090909090914,0.4323863636363636,negative
RT @WHOAFRO: The @UN 'Solidarity Flight' carrying #COVID19 medical supplies donated by @WHO &amp; @foundation_ma has now reached over 80% of Af…,0.0,0.0,neutral
RT @WHOPhilippines: Investments in the fight against malaria support the fight against #COVID19 and save lives of the most vulnerable: preg…,0.0,0.5,neutral
"RT @DrTedros: Our shared commitment is to ensure ALL people have access to ALL the tools to defeat #COVID19.

https://t.co/6CCTWrPDSU",0.0,0.0,neutral
"RT @DrTedros: We can only fight #COVID19 &amp; keep the world safe in unity. We are so glad that our key partners @gavi, @GlobalFund, @CEPIvacc…",0.25,0.875,positive
RT @DrTedros: R&amp;D plays a central role in combating #COVID19. Today @WHO is proud to unite with partners &amp; launch the Access to COVID-19 To…,0.4,0.625,positive
"#COVID19 is confronting families globally with the deadly and devastating impacts of disease outbreaks.

In the midst of this crisis, we must also work to ensure all people are protected against diseases for which we have vaccines to prevent.

#VaccinesWork for all! https://t.co/XDlM2tAi5c",-0.39999999999999997,0.4666666666666666,negative
"A Global Collaboration to Accelerate the Development, Production and Equitable Access to New #COVID19 diagnostics, therapeutics and vaccines: Access to COVID-19 Tools (act) Accelerator 👉
https://t.co/TPsBxx9jaN",0.06818181818181818,0.22727272727272727,positive
"""And I would especially like to thank Sir Andrew Witty and Dr Ngozi Okonjo-Iweala for agreeing to act as Special Envoys for the ACT Accelerator.

We are facing a common threat, which we can only defeat with a common approach""-@DrTedros #COVID19",0.042857142857142864,0.7619047619047619,positive
"""Each of us are doing great work, but we cannot work alone.

We’re coming together to work in new ways to identify challenges and solutions together""-@DrTedros #COVID19",0.4681818181818182,0.6022727272727273,positive
"""Our shared commitment is to ensure all people have access to all the tools to defeat #COVID19. 

The ACT Accelerator brings together the combined power of several organizations to work with speed and scale""-@DrTedros",0.0,0.0,neutral
"""This is a landmark collaboration to accelerate the development, production and equitable distribution of vaccines, diagnostics, and therapeutics for #COVID19""-@DrTedros",0.0,0.0,neutral
"""Today, WHO is proud to be uniting with many partners to launch the Access to #COVID19 Tools Accelerator, or the ACT Accelerator""-@DrTedros",0.65,0.75,positive
"""Past experience has taught us that even when tools are available, they have been not been equally available to all. 

We cannot allow that to happen""-@DrTedros #COVID19",0.18333333333333335,0.35000000000000003,positive
"""We’ve also developed diagnostics that are being used all over the world;

And we’re coordinating a global trial on the safety and efficacy of four therapeutics against #COVID19.
 
The world needs these tools, and it needs them fast""-@DrTedros",0.10000000000000002,0.3,positive
"""Since January, WHO has been working with thousands of researchers all over the world to accelerate and track vaccine development - from developing animal models to clinical trial designs, and everything in between""-@DrTedros #COVID19",0.0,0.0,neutral
"""The #COVID19 pandemic is an unprecedented global crisis that has been met with an unprecedented global response.

Research and development have played a central role""-@DrTedros",0.24,0.41,positive
LIVE: Launch of the Access to #COVID19 Tools (ACT) accelerator https://t.co/VRdOjc84Bn,0.13636363636363635,0.5,positive
"Join world leaders at the virtual launch of a landmark collaboration to accelerate the development, production and equitable distribution of vaccines, diagnostics, and therapeutics for #COVID19.

📺13:00 GMT/15:00 CEST @WHO: Access to COVID-19 Tools (ACT) accelerator",0.0,0.0,neutral
"Prior to the #COVID19 pandemic, the world had made immense progress in ensuring that children are vaccinated. In 2018, 86% of children under the age of five were vaccinated with three doses of diphtheria, tetanus and pertussis (DTP3). #VaccinesWork for all! https://t.co/gH7C7Sg8Aj",0.0,0.5,neutral
"But even with an expedited process, development of a vaccine for #COVID19 will take time. Precautionary measures are essential now to help keep us safe from disease, including diseases for which vaccines already protect children and adults. 👉 https://t.co/QmnugMP60T",0.25,0.4,positive
WHO is working with partners all over the world to accelerate research and development of a safe and effective #COVID19 vaccine and ensure equitable access for the billions of people who will need it. 👉 https://t.co/QmnugMxuCj,0.55,0.65,positive
"The only call for donations WHO has issued is the #COVID19 Solidarity Response Fund, which is linked to below.
Any other appeal for funding or donations that appears to be from WHO is a scam.

#COVID19 Solidarity Response Fund 👉🏽 https://t.co/1zuE6YSgTr https://t.co/QKwLYg6kQW",-0.0625,0.6875,negative
"Be aware that hackers and cyber scammers are taking advantage of the #COVID19 pandemic by sending fraudulent email and WhatsApp messages that attempt to trick you into clicking on malicious links or opening attachments 

https://t.co/bv7dDq6lts

#coronavirus https://t.co/xuJorFFPUZ",0.25,0.25,positive
"WHO urges everyone to remain vigilant against fraudulent emails and recommends the use of reliable sources to obtain factual information about #COVID19 and other health issues 

https://t.co/wJGzfJtPU3

#coronavirus https://t.co/hOReBppFIa",-0.125,0.375,negative
"WHO has seen a dramatic increase in the number of cyber attacks directed at its staff, and was shocked to see email scams to channel donations to a fictitious fund and not the authentic #COVID19 Solidary Response Fund

https://t.co/wJGzfJtPU3

#coronavirus https://t.co/8yZceOwopW",-0.2111111111111111,0.7166666666666667,negative
"WHO urges vigilance after fivefold increase in cyber attacks since the start of the #COVID19 pandemic 

https://t.co/wJGzfJtPU3

#coronavirus https://t.co/zsNsPB2d15",0.0,0.0,neutral
"At this stage of #COVID19, countries in sub-Saharan Africa have a critical window of opportunity to save lives by: 
- Maintaining preventive #malaria therapies for young children &amp; 🤰🏿 pregnant women
- Accelerating mass vector control campaigns

👉 https://t.co/TGovpNLsHu https://t.co/3bc2odPUxh",0.14444444444444446,0.5666666666666668,positive
"RT @WHO: WHO declared #COVID19 a Public Health Emergency of International Concern on 30 January 2020, when there were less than 100 cases,…",-0.05555555555555555,0.044444444444444446,negative
"Countries in sub-Saharan Africa need to move fast &amp; distribute #malaria prevention &amp; treatment tools at this stage of the #COVID19 outbreak to avoid an increase in  malaria related deaths 

👉https://t.co/TGovpNLsHu https://t.co/DiW1FGjDfy",0.1,0.5,positive
"New analysis conducted by WHO in partnership with @MalariaAtlas, @PATHtweets &amp; @gatesfoundation reinforces call for maintaining #malaria prevention &amp; treatment services during the #COVID19 pandemic to save lives in sub-Saharan Africa

👉 https://t.co/BqvUMC7gmZ https://t.co/OZoWwJ9Cni",0.13636363636363635,0.45454545454545453,positive
"If we face further disease outbreaks, these will also overwhelm health systems already battling the impacts of #COVID19.

👉 https://t.co/5z5GWZdDue

#VaccinesWork for all!

https://t.co/eOkctcVyiV",0.0,0.5,neutral
"""WHO remains deeply committed to standing with the government and people of #Pakistan to prevent infections &amp; save lives.

We’re all in this together &amp; we will only get through it together.

Finally, I would like to wish all Muslims in Pakistan #Ramadan kareem""-@DrTedros #COVID19",0.0,0.7999999999999999,neutral
"""2⃣we must coordinate not only to implement the plan, but also to raise resources, so they can be allocated to where they are needed most, not only in the immediate response itself, but also in strengthening the health system""-@DrTedros #COVID19",0.16666666666666666,0.8333333333333334,positive
"""I will leave you with few requests:
1⃣that all parties in the @UN system &amp; other international &amp; local partners work with the government under the plan. #COVID19 is a real threat to #Pakistan - mitigating its impact depends on having a coordinated &amp; coherent approach""-@DrTedros",0.0625,0.24583333333333335,positive
"""Without effective interventions there could be an estimated 200K+ cases by mid-July. The impacts on the economy could be devastating, doubling the number of people living in poverty.
We must act in solidarity, with a coherent, coordinated approach""-@DrTedros #COVID19",0.033333333333333326,0.8333333333333334,positive
"""The whole-of-government approach reflected in the plan enables resources to be adapted to support the most effective public health interventions as more is learned about both the virus and the key risk groups""-@DrTedros #COVID19",0.32,0.5733333333333334,positive
"""With the fast-moving spread of the pandemic, #Pakistan requires, now more than ever, flexible and timely funding so that it can be allocated quickly to where it is most needed""-@DrTedros #COVID19",0.4444444444444444,0.5,positive
"""Particular attention must be paid to mitigating the socio-economic and nutritional impacts of the #COVID19 pandemic on the most vulnerable""-@DrTedros",0.055555555555555546,0.4444444444444444,positive
"""The virus has already spread throughout 🇵🇰. 115+ districts are affected, largely in Punjab &amp; Sindh.
The #COVID19 outbreak is creating significant additional pressure on an already overburdened health system, exacerbating the vulnerabilities of affected populations""-@DrTedros",0.29464285714285715,0.6517857142857143,positive
"""🇵🇰’s #COVID19 Response Plan is a joint strategy of the Government of #Pakistan, the @UN and partners. It is aligned with the @GlobalGoalsUN, Pakistan’s National Action Plan and WHO’s global Strategic Preparedness and Response Plan""-@DrTedros https://t.co/AJylsRC8Wy",0.05,0.05,positive
"""When this year began, little was known about #COVID19. Now, it has spread globally, upending health systems and economies, and putting lives and livelihoods at risk""-@DrTedros at the Launch of #Pakistan National Strategic Preparedness and Response Plan virtual conference https://t.co/XKLUEifu5H",-0.09375,0.25,negative
"Ahead of #WorldImmunizationWeek, WHO warns: 

Shutting down immunization services in the #COVID19 pandemic risks triggering a resurgence of diseases that can be prevented with safe and effective vaccines
👉 https://t.co/5z5GWZdDue

#VaccinesWork for all! https://t.co/qqziVCeqZ0",0.36481481481481487,0.5296296296296297,positive
"RT @antonioguterres: #COVID19 is a public health emergency — that is fast becoming a human rights crisis.

People — and their rights — must…",0.1625,0.4041666666666667,positive
"WHO declared #COVID19 a Public Health Emergency of International Concern on 30 January 2020, when there were less than 100 cases, and no deaths, outside of #China. https://t.co/sszevdIC4A",-0.041666666666666664,0.04583333333333334,negative
"#OpenWHO, the free, open-access learning platform for health emergencies, now offers 9 online courses related to #COVID19

Enroll today: 
👉 https://t.co/yvxUqiwKm0 https://t.co/o6bx5lY287",0.16666666666666666,0.4000000000000001,positive
"""We’re all in this together. And we will only get through it together""-@DrTedros #COVID19 

The full statement: https://t.co/tLkdaJm0Q3",0.175,0.775,positive
"""Earlier today I spoke to health ministers from across the Eastern Mediterranean region.

I assured them that we will stand in solidarity with them, as we will stand with all countries""-@DrTedros #COVID19 

https://t.co/gt0EUUZ2CF",0.0,0.5,neutral
"""With the holy month of #Ramadan starting tomorrow, I would like to wish all Muslims around the world Ramadan kareem.

This is a season of reflection and community – an opportunity for kindness and solidarity""-@DrTedros #COVID19",0.0,0.1,neutral
"""We need to ensure these products reach those in need quickly, and we emphasize the importance of regulatory cooperation and international standards""-@DrTedros #COVID19",0.16666666666666666,0.25,positive
"""We also issued a call with the @wto, calling on countries to ensure the normal cross-border flow of vital medical supplies and other goods and services, and to resolve unnecessary disruptions to global supply chains""-@DrTedros #COVID19 

https://t.co/0hrgTwGlu0",-0.04583333333333334,0.38749999999999996,negative
"""We’re calling on all telecommunications companies globally to join this initiative to help unleash the power of communication technology to save lives""-@DrTedros #COVID19 

https://t.co/n7K4BpeOAh",0.0,0.0,neutral
"""This will help reach half of the 🌍's population that doesn’t have internet access, starting in the Asia Pacific region &amp; then rolling out globally""-@DrTedros #COVID19 

https://t.co/LawjcmjMPv",-0.05555555555555555,0.08888888888888889,negative
"""But we’re not alone. We work with partners 🌍 to harness their expertise &amp; networks.
Earlier this week WHO &amp; the @ITU announced that we’re partnering with telecommunications companies to reach people directly on their mobile phones with text messages about #COVID19""-@DrTedros",0.05,0.45,positive
"""In other words, there are still many gaps in the world’s defences, and no single country has everything in place. 

WHO will continue working with countries and the international community to close these gaps and build sustainable capacities for the future""-@DrTedros #COVID19",0.08214285714285714,0.24285714285714283,positive
"""We still see many gaps:
-Only 66% of countries have a clinical referral system in place to care for #COVID19 patients
-Only 48% have a community engagement plan
-Only 48% have an infection prevention &amp; control programme &amp; standards for 🚰, 🚽 &amp; hygiene in 🏥""-@DrTedros",0.125,0.875,positive
"""In addition to supporting countries, we also track progress 🌍. Among countries that have reported data to WHO,
78% have a preparedness &amp; response plan in place
76% have surveillance systems in place to detect cases
91% have laboratory testing capacity for #COVID19""-@DrTedros",0.25,0.25,positive
"""We’ve also brought in external support through our Global Outbreak Alert and Response Network and specialist Emergency Medical Teams""-@DrTedros #COVID19",0.0,0.03333333333333333,neutral
"""In addition, WHO has sent 70+ surge teams to countries to strengthen surveillance, and provide advice on infection prevention, how to treat patients, risk communication, lab capacity, data management, and much, much more""-@DrTedros #COVID19",0.5,0.5,positive
"""WHO has staff in 150 countries all over the world, working directly with governments, scientists and partners to coordinate national preparedness and response plans, and to implement them""-@DrTedros #COVID19",0.1,0.4,positive
"""Through thousands of hours of discussion, we have exchanged first-hand experience and debated the science to generate the advice that we make available to all countries.

We then work with countries to turn that guidance into action""-@DrTedros #COVID19",0.25,0.25,positive
"""In less than 2 weeks, we received requests to translate the book into 100+ languages, and the book is now being used among Rohingya children in Cox’s Bazaar, and children in Syria, Yemen, Iraq, Greece and Nigeria""-@DrTedros #COVID19",-0.16666666666666666,0.06666666666666667,negative
"""We’ve also developed a free children’s book about #COVID19 with partners from @UNICEF, @Refugees, @ifrc &amp; @UNESCO among others""-@DrTedros",0.25,0.55,positive
"""WHO is also working actively to address the impacts of the #COVID19 pandemic on #mentalhealth.

Working with mental health experts around the world, WHO has produced technical guidance for individuals and health workers, recognizing the enormous strain they’re under""-@DrTedros",-0.058333333333333334,0.45,negative
"""There are disturbing reports in many countries, in all regions, about discrimination related to #COVID19.

Stigma &amp; discrimination are never acceptable anywhere at anytime &amp; must be fought in all countries.

This is a time for solidarity, not stigma""-@DrTedros",0.0,0.5666666666666668,neutral
"""WHO is committed to supporting all countries to save lives.

And we are also committed to human rights, and to fighting stigma and discrimination wherever we see it""-@DrTedros #COVID19",0.125,0.175,positive
"""Countries that don’t do these six central things, and do them consistently, will see more cases, and more lives will be lost.

To be clear, WHO’s advice is to find &amp; test every suspected case, not every person in a population""-@DrTedros #COVID19",0.27,0.37666666666666665,positive
"""One of the greatest dangers we face now is complacency. People in countries with #StayHome orders are understandably frustrated with being confined to their homes for weeks on end""-@DrTedros #COVID19",0.15000000000000002,0.6,positive
"""Early evidence suggests most of the 🌍’s population remains susceptible. That means epidemics can easily re-ignite""-@DrTedros #COVID19",0.3444444444444444,0.5444444444444444,positive
"""There’s no question that #StayHome orders and other physical distancing measures have successfully suppressed transmission in many countries.

But this virus remains extremely dangerous""-@DrTedros #COVID19",0.10500000000000001,0.5735714285714286,positive
"""And some that were affected early in the pandemic are now starting to see a resurgence in cases.

Make no mistake: we have a long way to go. This virus will be with us for a long time""-@DrTedros #COVID19",0.0,0.30000000000000004,neutral
"""Most of the epidemics in Western Europe appear to be stable or declining.

Although numbers are low, we see worrying upward trends in Africa, Central a&amp; South America, &amp; Eastern Europe. 

Most countries are still in the early stages of their epidemics""-@DrTedros #COVID19",0.18333333333333335,0.30833333333333335,positive
"""Globally, almost 2.5 million cases of #COVID19 have now been reported to WHO, and more than 160,000 deaths.

We see different trends in different regions, and even within regions""-@DrTedros",0.125,0.42500000000000004,positive
Media briefing on #COVID19 with @DrTedros. https://t.co/u8sWlKpEXk,0.0,0.0,neutral
RT @WHOAFRO: Join us on Twitter tomorrow at 12:15 Brazzaville &amp; Abuja time (GMT +1) for a LIVE media briefing with @WEF on #COVID19 in the…,0.13636363636363635,0.5,positive
"Fasting during #COVID19:
✅Healthy individuals ➡️ OK to fast as usual
✅COVID19 patients ➡️ consider religious licenses on breaking the fast in consultation with doctors
No studies of fasting &amp; risk of COVID-19 infection have been performed https://t.co/Zq2XQBS6FN

#Ramadan https://t.co/rfreshbIJ6",0.12999999999999998,0.44000000000000006,positive
"Tobacco lobbyists have tried to manipulate #COVID19 policymaking to get tobacco shops listed as 'essential' &amp; offer free delivery of tobacco products to people in quarantine. 

Smokers likely face more severe symptoms if infected, leading to hospitalizations &amp; premature deaths. https://t.co/pBL10oR1al",0.225,0.65,positive
"""3⃣ we urge you to pay careful attention to ensuring that essential public health services continue safely and effectively. 

WHO remains committed to standing with all of you in solidarity to fight the virus and save lives""-@DrTedros #COVID19",0.2,0.5333333333333334,positive
"""2⃣ we call on countries to implement proven public health measures aggressively: detect, test, isolate and care for every case, and trace and quarantine every contact""-@DrTedros #COVID19",0.0,0.06666666666666667,neutral
"""I'd like to leave you with 3 requests.
1⃣ #COVID19 response demands a whole-of-govt approach. As Ministers of health, you play a vital, central role, but you cannot do it alone so continuing with the whole-of-govt approach will be very important to beating this virus""-@DrTedros",0.20666666666666667,0.5499999999999999,positive
"""We are helping to consolidate lessons learned to adjust and fine-tune our collective response to the pandemic.  The recently released #COVID19 preparedness and response strategy incorporates the most recent learning from country experiences from across the globe""-@DrTedros",0.16666666666666666,0.3333333333333333,positive
"""We are coordinating a vast range of research endeavours, including the Solidarity Trial, which is investigating different therapeutic options for the treatment of #COVID19""-@DrTedros",0.0,0.8,neutral
"""WHO has produced multiple technical guidance documents on all aspects of the #COVID19 response &amp; our online and remote trainings have been accessed by more than 2 million #healthworkers. And we will expand it to train millions more""-@DrTedros",0.18,0.26,positive
"""In spite of this clear progress, I am of course asking you to do more.  

As always, WHO is here to assist both at headquarters and regional levels and of course at the country level""-@DrTedros #COVID19",0.3,0.44166666666666665,positive
"""Confirmed patients who have mild #COVID19 or do not require hospitalization should be admitted to temporary isolation facilities managed properly with infection prevention and control measures in place""-@DrTedros",0.24444444444444446,0.5333333333333333,positive
"""Early isolation of ALL cases is perhaps the most important public health measure in controlling the spread of #COVID19""-@DrTedros",0.25,0.4666666666666667,positive
"""All of us need to invest further in the collection, analysis and utilization of epidemiological data. Aggregated data should be shared with WHO, to inform country-specific advice and regional analysis and response""-@DrTedros #COVID19",0.0,0.5,neutral
"""The proven public health measures of early detection, testing, isolation &amp; treatment of #COVID19 cases, &amp; tracing &amp; quarantining of contacts should form the central pillar of the response""-@DrTedros",0.03333333333333333,0.20555555555555557,positive
"""The Eastern Mediterranean still has an opportunity to slow the transmission of #COVID19 – but the window is rapidly closing.  
Slowing the spread is critical in order to give you time to mount a comprehensive response""-@DrTedros",-0.15000000000000002,0.6,negative
"""We’re especially concerned about the potential impact of the #coronavirus in countries that have suffered from years of conflict &amp; fragility""-@DrTedros #COVID19",0.0,1.0,neutral
"""The epidemic in #Iran now appears to be waning, but most other countries in the region are seeing increasing numbers of new infections every day""-@DrTedros #COVID19",0.17045454545454544,0.4431818181818182,positive
"""The #COVID19 pandemic is showing that no country or region is immune.

Almost 140,000 cases and more than 6000 deaths have been reported to @WHOEMRO so far""-@DrTedros at the Eastern Mediterranean Region Ministerial Meeting on COVID-19",0.3,0.75,positive
